Entry	Entry name	PubMed ID
O60543	CIDEA_HUMAN	9564035; 18509062; 19843876; 
Q8IWX8	CHERP_HUMAN	15057824; 15489334; 8896557; 10794731; 8010949; 12656674; 17081983; 18669648; 19413330; 19690332; 19608861; 21269460; 21406692; 22814378; 23186163; 28112733
Q6ZRZ4	CI047_HUMAN	14702039; 15164053; 15489334
P51959	CCNG1_HUMAN	8626390; 8806701; 8954786; 10196184; 14702039; 15372022; 15489334; 
Q9GZU0	CF062_HUMAN	11230166; 12880961; 14702039; 14574404; 15489334
Q12798	CETN1_HUMAN	8175926; 14702039; 15489334; 20643351
Q7Z692	CEA19_HUMAN	12801635; 12975309; 14702039; 15057824; 15489334
P53567	CEBPG_HUMAN	7665092; 14702039; 15489334; 20068231; 28112733
P0DN87	CGB7_HUMAN	14702039; 15057824; 11861891; 16123088
Q96NF6	CH049_HUMAN	14702039
Q8N9H6	CH031_HUMAN	14702039; 15489334
Q8TAP6	CEP76_HUMAN	14702039; 16177791; 15489334; 17974005; 14654843; 18691976; 18669648; 19460342; 19690332
P78357	CNTP1_HUMAN	9118959; 24319099; 27782105; 27818385; 28254648; 27668699; 28374019; 29511323
P02462	CO4A1_HUMAN	2701944; 15057823; 15489334; 3311751; 3182844; 4043082; 3691802; 6434307; 2581969; 2582422; 2844531; 10811134; 16481288; 16151532; 18775695; 22522439; 22574627; 23394911; 23225343; 25228067; 24628545; 27666438; 28369186; 12011424; 15905400; 16107487; 16598045; 17696175; 18160688; 17379824; 19194877; 20818663; 20385946; 19477666; 21527998
Q8N0X4	CLYBL_HUMAN	11741334; 14702039; 15057823; 15489334; 23754956; 24334609; 24275569; 25944712; 29056341
Q9ULV3	CIZ1_HUMAN	10529385; 14702039; 15164053; 15489334; 12824700; 10369878; 18669648; 19690332; 20068231; 22447717; 23186163; 25218447; 25772364; 25755297; 28112733
Q8TBE1	CNIH3_HUMAN	14702039; 16710414; 15489334; 20805473; 23103966
Q96BR5	COA7_HUMAN	14702039; 16710414; 15489334; 19413330; 21269460; 24333015; 25944712; 27683825; 29718187; 30885959
Q9H9Q2	CSN7B_HUMAN	14702039; 15815621; 15489334; 11285227; 11337588; 12220626; 12732143; 12628923; 18850735; 19413330; 19690332; 21269460; 26456823; 29444943
Q96M02	CJ090_HUMAN	15164054; 15489334; 14702039; 20844083
Q9ULY5	CLC4E_HUMAN	10528209; 12975309; 14702039; 16541075; 15489334; 18509109; 18776906; 23602766; 24101491
P15954	COX7C_HUMAN	2155413; 10072584; 15489334; 1309697; 21269460; 25944712; 31536960; 28844695; 30030519
Q9UJA2	CRLS1_HUMAN	16678169; 11780052; 17974005; 16547353
Q96GX8	CP074_HUMAN	15616553; 15489334; 18669648; 20068231
Q7LFL8	CXXC5_HUMAN	19557330; 12761501; 14702039; 15372022; 15489334; 11042152; 19182210; 23186163; 23303788; 29276034
Q93034	CUL5_HUMAN	9037604; 14702039; 15489334; 10230407; 10597293; 11384984; 12186903; 15574592; 15601820; 16325183; 18669648; 21269460; 21199876; 21697472; 24076655; 23186163; 26041281; 28292928; 18805092
Q13617	CUL2_HUMAN	9122164; 10092517; 14702039; 15164054; 15489334; 8681378; 10230407; 10973499; 11384984; 12149480; 12609982; 10597293; 15601820; 17304241; 17251292; 18669648; 19608861; 21269460; 23102700; 22286099; 24076655; 23186163; 27565346
P61803	DAD1_HUMAN	8413235; 15489334; 12665801; 21269460; 22467853; 22223895; 22814378; 25135935; 25489052; 25944712
Q8NI51	CTCFL_HUMAN	12011441; 17048991; 17962299; 14702039; 11780052; 15489334; 12191639; 18413740; 18765639
Q6P5X5	CV039_HUMAN	14702039; 10591208; 15489334; 15461802
Q8NCS7	CTL5_HUMAN	14702039; 16710414; 15489334; 15715662
P0DMV1	CT458_HUMAN	15772651
Q9BQT9	CSTN3_HUMAN	12498782; 15037614; 9872452; 16541075; 15489334; 12972431; 16959974
Q9HB71	CYBP_HUMAN	12006993; 14702039; 16710414; 15489334; 11389839; 12895292; 19413330; 19690332; 19608861; 21269460; 22223895; 22814378; 23186163; 25944712; 16085652; 
Q30KQ8	DB112_HUMAN	16033865; 11854508
Q8IWF6	DEN6A_HUMAN	12693554; 16641997; 15489334; 14702039; 21330364; 20068231; 22595670; 24129315
Q9ULE3	DEN2A_HUMAN	10574462; 12853948; 15489334; 20937701
P0C7V8	DC8L2_HUMAN	15489334; 15772651
Q5T6F0	DCA12_HUMAN	11572484; 14702039; 15164053; 15489334; 17974005; 16949367; 16964240; 18957058; 23186163
P78524	DEN2B_HUMAN	8972856; 11528127; 14702039; 16554811; 15489334; 1390339; 9632734; 10229203; 18669648; 20937701; 23186163; 24275569; 29030480
A0PJW8	DAPL1_HUMAN	15489334; 15920738
Q96HY6	DDRGK_HUMAN	20036718; 12975309; 11780052; 15489334; 20018847; 20228063; 21269460; 23186163; 23675531; 24275569; 25219498; 25944712; 28263186; 28128204; 32160526
Q86YH6	DLP1_HUMAN	16262699; 14574404; 15489334; 21269460; 25944712; 17186472
Q8N7S2	DNJ5G_HUMAN	14702039; 15815621; 15489334; 
O95886	DLGP3_HUMAN	16710414; 28294470
P17661	DESM_HUMAN	2673923; 2007603; 8792816; 9697706; 10430757; 11668632; 14648196; 15489334; 10545598; 9875213; 12686604; 16923132; 19413330; 21135508; 14724127; 15495235; 23687351; 24275569; 25358400; 27565725; 9736733; 10905661; 11061256; 10717012; 12620971; 12766977; 14711882; 15800015; 16009553; 16376610; 16865695; 17439987; 17221859; 18061454; 19879535; 20829228; 21842594; 22106715; 22395865; 23168288; 24200904; 23615443; 25394388; 26724190; 27733623; 28470624
Q9NZQ0	DJC27_HUMAN	17974005; 15489334; 14980719; 24746703; 
Q7Z5P4	DHB13_HUMAN	17311113; 12975309; 15221005; 14702039; 15489334; 24275569
Q14195	DPYL3_HUMAN	8973361; 9115293; 15372022; 17081983; 16611631; 21269460; 21406692; 24275569; 25358863
O43491	E41L2_HUMAN	9598318; 14702039; 17974005; 14574404; 16254212; 17081983; 16964243; 18023480; 18669648; 19413330; 19690332; 20068231; 21269460; 21406692; 22361696; 22223895; 23870127; 23186163; 24275569; 25755297; 28112733
Q8N682	DRAM1_HUMAN	14702039; 16541075; 15489334; 16839881; 17304243
P50570	DYN2_HUMAN	7590285; 14702039; 15057824; 15489334; 11583995; 12498685; 16325581; 16234328; 15703209; 17257598; 17676042; 18353773; 18480402; 18669648; 19690332; 19608861; 20068231; 21269460; 22022388; 24275569; 25944712; 15731758; 16227997; 17932957; 17636067; 17825552; 18560793; 19623537; 19122038; 19932620; 19932619; 20227276; 22396310; 23092955
Q5VTE0	EF1A3_HUMAN	15164053; 8812466
A4FU69	EFCB5_HUMAN	14702039; 17974005; 16625196; 15489334; 18669648
P01911	DRB_HUMAN	6589154; 2998758; 3875800; 3456344; 3571980; 2885840; 3110774; 3259543; 3129499; 2497068; 9777332; 12652907; 12358860; 11972886; 12028552; 15896200; 17174751; 21388356; 26396036; 30337930; 16140993; 17345114; 14702039; 15489334; 14574404; 6947956; 6600932; 2658055; 2210803; 7479981; 8642306; 9075930; 9151859; 11070170; 15265931; 18305173; 18669648; 20356336; 22327072; 25413013; 27591323; 31495665; 8145819; 8152483; 7477400; 9354468; 9782128; 11432818; 11864610; 19303388; 21900604; 23260142; 24190431; 28467828; 29884618; 14508706; 21833088; 22286218; 25559196; 23510415
